Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error
_14c_Purpose_of_research:_Other,Published_Industry,03_Beverage and tobacco manufacturing,2016,..,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,..
_14c_Purpose_of_research:_Other,Published_Industry,03_Beverage and tobacco manufacturing,2018,..,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,..
_14c_Purpose_of_research:_Other,Published_Industry,03_Beverage and tobacco manufacturing,2019,..,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,..
_14c_Purpose_of_research:_Other,Published_Industry,03_Beverage and tobacco manufacturing,2020,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,03_Beverage and tobacco manufacturing,2021,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,03_Beverage and tobacco manufacturing,2022,..,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,..
_14c_Purpose_of_research:_Other,Published_Industry,03_Beverage and tobacco manufacturing,2023,..,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,..
_14c_Purpose_of_research:_Other,Published_Industry,03_Beverage and tobacco manufacturing,2024,..,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,..
_14c_Purpose_of_research:_Other,Published_Industry,03_Beverage and tobacco manufacturing,2025,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2016,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2018,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2019,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2020,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2021,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2022,1,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,20.4
_14c_Purpose_of_research:_Other,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2023,1,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,34.1
_14c_Purpose_of_research:_Other,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2024,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,"04_Textiles, clothing, footwear, and leather manufacturing",2025,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2016,3,,NZ Dollars (millions),12 and 15 and 16 and 28,77.1
_14c_Purpose_of_research:_Other,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2018,C,,NZ Dollars (millions),12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2019,C,,NZ Dollars (millions),12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2020,C,,NZ Dollars (millions),12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2021,C,,NZ Dollars (millions),12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2022,0,,NZ Dollars (millions),12 and 15 and 16 and 28,74
_14c_Purpose_of_research:_Other,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2023,C,,NZ Dollars (millions),12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2024,C,,NZ Dollars (millions),12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,"05_Petroleum, coal, chemical, and associated product",2025,1,,NZ Dollars (millions),12 and 15 and 16 and 28,87.2
_14c_Purpose_of_research:_Other,Published_Industry,06_Non-metallic mineral product manufacturing,2016,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,06_Non-metallic mineral product manufacturing,2018,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,06_Non-metallic mineral product manufacturing,2019,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,06_Non-metallic mineral product manufacturing,2020,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,06_Non-metallic mineral product manufacturing,2021,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,06_Non-metallic mineral product manufacturing,2022,..,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,..
_14c_Purpose_of_research:_Other,Published_Industry,06_Non-metallic mineral product manufacturing,2023,0,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,215.3
_14c_Purpose_of_research:_Other,Published_Industry,06_Non-metallic mineral product manufacturing,2024,0,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,33.6
_14c_Purpose_of_research:_Other,Published_Industry,06_Non-metallic mineral product manufacturing,2025,..,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,..
_14c_Purpose_of_research:_Other,Published_Industry,07_Metal product manufacturing,2016,1,,NZ Dollars (millions),12 and 15 and 16 and 28,71.9
_14c_Purpose_of_research:_Other,Published_Industry,07_Metal product manufacturing,2018,3,,NZ Dollars (millions),12 and 15 and 16 and 28,112.1
_14c_Purpose_of_research:_Other,Published_Industry,07_Metal product manufacturing,2019,C,,NZ Dollars (millions),12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,07_Metal product manufacturing,2020,C,,NZ Dollars (millions),12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,07_Metal product manufacturing,2021,C,,NZ Dollars (millions),12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,07_Metal product manufacturing,2022,1,,NZ Dollars (millions),12 and 15 and 16 and 28,82.9
_14c_Purpose_of_research:_Other,Published_Industry,07_Metal product manufacturing,2023,0,,NZ Dollars (millions),12 and 15 and 16 and 28,78.2
_14c_Purpose_of_research:_Other,Published_Industry,07_Metal product manufacturing,2024,0,,NZ Dollars (millions),12 and 15 and 16 and 28,70.9
_14c_Purpose_of_research:_Other,Published_Industry,07_Metal product manufacturing,2025,0,,NZ Dollars (millions),12 and 15 and 16 and 28,82.2
_14c_Purpose_of_research:_Other,Published_Industry,08_Machinery and equipment manufacturing,2016,41,,NZ Dollars (millions),12 and 15 and 16 and 28,54.1
_14c_Purpose_of_research:_Other,Published_Industry,08_Machinery and equipment manufacturing,2018,21,,NZ Dollars (millions),12 and 15 and 16 and 28,66.2
_14c_Purpose_of_research:_Other,Published_Industry,08_Machinery and equipment manufacturing,2019,7,,NZ Dollars (millions),12 and 15 and 16 and 28,30
_14c_Purpose_of_research:_Other,Published_Industry,08_Machinery and equipment manufacturing,2020,8,,NZ Dollars (millions),12 and 15 and 16 and 28,31.1
_14c_Purpose_of_research:_Other,Published_Industry,08_Machinery and equipment manufacturing,2021,11,,NZ Dollars (millions),12 and 15 and 16 and 28,43
_14c_Purpose_of_research:_Other,Published_Industry,08_Machinery and equipment manufacturing,2022,15,,NZ Dollars (millions),12 and 15 and 16 and 28,85.3
_14c_Purpose_of_research:_Other,Published_Industry,08_Machinery and equipment manufacturing,2023,10,,NZ Dollars (millions),12 and 15 and 16 and 28,88
_14c_Purpose_of_research:_Other,Published_Industry,08_Machinery and equipment manufacturing,2024,18,,NZ Dollars (millions),12 and 15 and 16 and 28,56
_14c_Purpose_of_research:_Other,Published_Industry,08_Machinery and equipment manufacturing,2025,46,,NZ Dollars (millions),12 and 15 and 16 and 28,56.9
_14c_Purpose_of_research:_Other,Published_Industry,09_Other manufacturing,2016,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,09_Other manufacturing,2018,C,,NZ Dollars (millions),12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,09_Other manufacturing,2019,C,,NZ Dollars (millions),12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,09_Other manufacturing,2020,C,,NZ Dollars (millions),12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,09_Other manufacturing,2021,1,,NZ Dollars (millions),12 and 15 and 16 and 28,116.4
_14c_Purpose_of_research:_Other,Published_Industry,09_Other manufacturing,2022,2,,NZ Dollars (millions),12 and 15 and 16 and 28,33.4
_14c_Purpose_of_research:_Other,Published_Industry,09_Other manufacturing,2023,C,,NZ Dollars (millions),12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,09_Other manufacturing,2024,2,,NZ Dollars (millions),12 and 15 and 16 and 28,57.5
_14c_Purpose_of_research:_Other,Published_Industry,09_Other manufacturing,2025,2,,NZ Dollars (millions),12 and 15 and 16 and 28,58.8
_14c_Purpose_of_research:_Other,Published_Industry,10_Wholesale trade,2016,C,,NZ Dollars (millions),12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,10_Wholesale trade,2018,25,,NZ Dollars (millions),12 and 15 and 16 and 28,96.7
_14c_Purpose_of_research:_Other,Published_Industry,10_Wholesale trade,2019,33,,NZ Dollars (millions),12 and 15 and 16 and 28,55.1
_14c_Purpose_of_research:_Other,Published_Industry,10_Wholesale trade,2020,38,,NZ Dollars (millions),12 and 15 and 16 and 28,63.1
_14c_Purpose_of_research:_Other,Published_Industry,10_Wholesale trade,2021,26,,NZ Dollars (millions),12 and 15 and 16 and 28,20.1
_14c_Purpose_of_research:_Other,Published_Industry,10_Wholesale trade,2022,30,,NZ Dollars (millions),12 and 15 and 16 and 28,20.8
_14c_Purpose_of_research:_Other,Published_Industry,10_Wholesale trade,2023,44,,NZ Dollars (millions),12 and 15 and 16 and 28,58.6
_14c_Purpose_of_research:_Other,Published_Industry,10_Wholesale trade,2024,C,,NZ Dollars (millions),12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,10_Wholesale trade,2025,C,,NZ Dollars (millions),12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,11_Scientific research and technical services,2016,C,,NZ Dollars (millions),12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,11_Scientific research and technical services,2018,C,,NZ Dollars (millions),12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,11_Scientific research and technical services,2019,7,,NZ Dollars (millions),12 and 15 and 16 and 28,112.9
_14c_Purpose_of_research:_Other,Published_Industry,11_Scientific research and technical services,2020,5,,NZ Dollars (millions),12 and 15 and 16 and 28,100.6
_14c_Purpose_of_research:_Other,Published_Industry,11_Scientific research and technical services,2021,23,,NZ Dollars (millions),12 and 15 and 16 and 28,28.9
_14c_Purpose_of_research:_Other,Published_Industry,11_Scientific research and technical services,2022,50,,NZ Dollars (millions),12 and 15 and 16 and 28,17.2
_14c_Purpose_of_research:_Other,Published_Industry,11_Scientific research and technical services,2023,C,,NZ Dollars (millions),12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,11_Scientific research and technical services,2024,C,,NZ Dollars (millions),12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,11_Scientific research and technical services,2025,C,,NZ Dollars (millions),12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,12_Computer services,2016,C,,NZ Dollars (millions),12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,12_Computer services,2018,35,,NZ Dollars (millions),12 and 15 and 16 and 28,41.7
_14c_Purpose_of_research:_Other,Published_Industry,12_Computer services,2019,28,,NZ Dollars (millions),12 and 15 and 16 and 28,29.2
_14c_Purpose_of_research:_Other,Published_Industry,12_Computer services,2020,45,,NZ Dollars (millions),12 and 15 and 16 and 28,30.6
_14c_Purpose_of_research:_Other,Published_Industry,12_Computer services,2021,48,,NZ Dollars (millions),12 and 15 and 16 and 28,33.2
_14c_Purpose_of_research:_Other,Published_Industry,12_Computer services,2022,59,,NZ Dollars (millions),12 and 15 and 16 and 28,48.9
_14c_Purpose_of_research:_Other,Published_Industry,12_Computer services,2023,59,,NZ Dollars (millions),12 and 15 and 16 and 28,65.9
_14c_Purpose_of_research:_Other,Published_Industry,12_Computer services,2024,80,,NZ Dollars (millions),12 and 15 and 16 and 28,54.5
_14c_Purpose_of_research:_Other,Published_Industry,12_Computer services,2025,73,,NZ Dollars (millions),12 and 15 and 16 and 28,53.4
_14c_Purpose_of_research:_Other,Published_Industry,13_Other services,2016,37,,NZ Dollars (millions),4 and 12 and 15 and 16 and 28,47.4
_14c_Purpose_of_research:_Other,Published_Industry,13_Other services,2018,50,,NZ Dollars (millions),4 and 12 and 15 and 16 and 28,38.3
_14c_Purpose_of_research:_Other,Published_Industry,13_Other services,2019,56,,NZ Dollars (millions),4 and 12 and 15 and 16 and 28,34.6
_14c_Purpose_of_research:_Other,Published_Industry,13_Other services,2020,80,,NZ Dollars (millions),4 and 12 and 15 and 16 and 28,42.7
_14c_Purpose_of_research:_Other,Published_Industry,13_Other services,2021,153,,NZ Dollars (millions),4 and 12 and 15 and 16 and 28,20.8
_14c_Purpose_of_research:_Other,Published_Industry,13_Other services,2022,20,,NZ Dollars (millions),4 and 12 and 15 and 16 and 28,56.3
_14c_Purpose_of_research:_Other,Published_Industry,13_Other services,2023,C,,NZ Dollars (millions),4 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,13_Other services,2024,35,,NZ Dollars (millions),4 and 12 and 15 and 16 and 28,46
_14c_Purpose_of_research:_Other,Published_Industry,13_Other services,2025,71,,NZ Dollars (millions),4 and 12 and 15 and 16 and 28,86.3
_14c_Purpose_of_research:_Other,Published_Industry,14_Scientific research,2016,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,14_Scientific research,2018,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,14_Scientific research,2019,...,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Published_Industry,14_Scientific research,2020,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,14_Scientific research,2021,...,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Published_Industry,14_Scientific research,2022,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,14_Scientific research,2023,...,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Published_Industry,14_Scientific research,2024,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,14_Scientific research,2025,...,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Published_Industry,15_Other government research,2016,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,15_Other government research,2018,16,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,118.3
_14c_Purpose_of_research:_Other,Published_Industry,15_Other government research,2019,...,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Published_Industry,15_Other government research,2020,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,15_Other government research,2021,...,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Published_Industry,15_Other government research,2022,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,15_Other government research,2023,...,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Published_Industry,15_Other government research,2024,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,15_Other government research,2025,...,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Published_Industry,16_Higher Education,2016,45,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,0
_14c_Purpose_of_research:_Other,Published_Industry,16_Higher Education,2018,72,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,0
_14c_Purpose_of_research:_Other,Published_Industry,16_Higher Education,2019,...,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Published_Industry,16_Higher Education,2020,134,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,0
_14c_Purpose_of_research:_Other,Published_Industry,16_Higher Education,2021,...,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Published_Industry,16_Higher Education,2022,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,16_Higher Education,2023,...,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Published_Industry,16_Higher Education,2024,C,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Published_Industry,16_Higher Education,2025,...,,NZ Dollars (millions),3 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Sector,01_Business Sector,2016,111,,NZ Dollars (millions),1 and 12 and 15 and 16 and 28,26.3
_14c_Purpose_of_research:_Other,Sector,01_Business Sector,2018,137,,NZ Dollars (millions),1 and 12 and 15 and 16 and 28,27
_14c_Purpose_of_research:_Other,Sector,01_Business Sector,2019,133,,NZ Dollars (millions),1 and 12 and 15 and 16 and 28,21.9
_14c_Purpose_of_research:_Other,Sector,01_Business Sector,2020,177,,NZ Dollars (millions),1 and 12 and 15 and 16 and 28,25.1
_14c_Purpose_of_research:_Other,Sector,01_Business Sector,2021,264,,NZ Dollars (millions),1 and 12 and 15 and 16 and 28,14
_14c_Purpose_of_research:_Other,Sector,01_Business Sector,2022,179,,NZ Dollars (millions),1 and 12 and 15 and 16 and 28,19.7
_14c_Purpose_of_research:_Other,Sector,01_Business Sector,2023,222,,NZ Dollars (millions),1 and 12 and 15 and 16 and 28,23.8
_14c_Purpose_of_research:_Other,Sector,01_Business Sector,2024,219,,NZ Dollars (millions),1 and 12 and 15 and 16 and 28,23.4
_14c_Purpose_of_research:_Other,Sector,01_Business Sector,2025,299,,NZ Dollars (millions),1 and 12 and 15 and 16 and 28,26.5
_14c_Purpose_of_research:_Other,Sector,02_Government Sector,2016,20,,NZ Dollars (millions),1 and 2 and 3 and 12 and 15 and 16 and 28,28.5
_14c_Purpose_of_research:_Other,Sector,02_Government Sector,2018,16,,NZ Dollars (millions),1 and 2 and 3 and 12 and 15 and 16 and 28,118.3
_14c_Purpose_of_research:_Other,Sector,02_Government Sector,2019,...,,NZ Dollars (millions),1 and 2 and 3 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Sector,02_Government Sector,2020,C,,NZ Dollars (millions),1 and 2 and 3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Sector,02_Government Sector,2021,...,,NZ Dollars (millions),1 and 2 and 3 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Sector,02_Government Sector,2022,C,,NZ Dollars (millions),1 and 2 and 3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Sector,02_Government Sector,2023,...,,NZ Dollars (millions),1 and 2 and 3 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Sector,02_Government Sector,2024,C,,NZ Dollars (millions),1 and 2 and 3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Sector,02_Government Sector,2025,...,,NZ Dollars (millions),1 and 2 and 3 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Sector,03_Higher Education Sector,2016,45,,NZ Dollars (millions),1 and 2 and 3 and 12 and 15 and 16 and 28,0
_14c_Purpose_of_research:_Other,Sector,03_Higher Education Sector,2018,72,,NZ Dollars (millions),1 and 2 and 3 and 12 and 15 and 16 and 28,0
_14c_Purpose_of_research:_Other,Sector,03_Higher Education Sector,2019,...,,NZ Dollars (millions),1 and 2 and 3 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Sector,03_Higher Education Sector,2020,C,,NZ Dollars (millions),1 and 2 and 3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Sector,03_Higher Education Sector,2021,...,,NZ Dollars (millions),1 and 2 and 3 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Sector,03_Higher Education Sector,2022,C,,NZ Dollars (millions),1 and 2 and 3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Sector,03_Higher Education Sector,2023,...,,NZ Dollars (millions),1 and 2 and 3 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Sector,03_Higher Education Sector,2024,C,,NZ Dollars (millions),1 and 2 and 3 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Sector,03_Higher Education Sector,2025,...,,NZ Dollars (millions),1 and 2 and 3 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Size,01_Zero employees,2016,C,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Size,01_Zero employees,2018,5,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,133.3
_14c_Purpose_of_research:_Other,Size,01_Zero employees,2019,...,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Size,01_Zero employees,2020,15,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,133.3
_14c_Purpose_of_research:_Other,Size,01_Zero employees,2021,...,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Size,01_Zero employees,2022,3,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,66
_14c_Purpose_of_research:_Other,Size,01_Zero employees,2023,...,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Size,01_Zero employees,2024,3,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,148.3
_14c_Purpose_of_research:_Other,Size,01_Zero employees,2025,...,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Size,02_1 to 9 employees,2016,C,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,C
_14c_Purpose_of_research:_Other,Size,02_1 to 9 employees,2018,42,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,34.5
_14c_Purpose_of_research:_Other,Size,02_1 to 9 employees,2019,...,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Size,02_1 to 9 employees,2020,60,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,7.6
_14c_Purpose_of_research:_Other,Size,02_1 to 9 employees,2021,...,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Size,02_1 to 9 employees,2022,10,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,37.4
_14c_Purpose_of_research:_Other,Size,02_1 to 9 employees,2023,...,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Size,02_1 to 9 employees,2024,25,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,29
_14c_Purpose_of_research:_Other,Size,02_1 to 9 employees,2025,...,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Size,03_10 to 19 employees,2016,35,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,31.1
_14c_Purpose_of_research:_Other,Size,03_10 to 19 employees,2018,7,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,50
_14c_Purpose_of_research:_Other,Size,03_10 to 19 employees,2019,...,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Size,03_10 to 19 employees,2020,11,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,52.8
_14c_Purpose_of_research:_Other,Size,03_10 to 19 employees,2021,...,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Size,03_10 to 19 employees,2022,14,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,37.4
_14c_Purpose_of_research:_Other,Size,03_10 to 19 employees,2023,...,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Size,03_10 to 19 employees,2024,21,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,31.1
_14c_Purpose_of_research:_Other,Size,03_10 to 19 employees,2025,...,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Size,04_20 to 49 employees,2016,22,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,72.8
_14c_Purpose_of_research:_Other,Size,04_20 to 49 employees,2018,17,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,43.1
_14c_Purpose_of_research:_Other,Size,04_20 to 49 employees,2019,...,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Size,04_20 to 49 employees,2020,22,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,43.3
_14c_Purpose_of_research:_Other,Size,04_20 to 49 employees,2021,...,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Size,04_20 to 49 employees,2022,38,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,46.2
_14c_Purpose_of_research:_Other,Size,04_20 to 49 employees,2023,...,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Size,04_20 to 49 employees,2024,36,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,47.1
_14c_Purpose_of_research:_Other,Size,04_20 to 49 employees,2025,...,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Size,05_50 to 99 employees,2016,22,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,75.1
_14c_Purpose_of_research:_Other,Size,05_50 to 99 employees,2018,12,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,56.7
_14c_Purpose_of_research:_Other,Size,05_50 to 99 employees,2019,...,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,...
_14c_Purpose_of_research:_Other,Size,05_50 to 99 employees,2020,21,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,83.4
_14c_Purpose_of_research:_Other,Size,05_50 to 99 employees,2021,...,,NZ Dollars (millions),5 and 12 and 15 and 16 and 28,...
