Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error
_01_Total_RD_Expenditure,ANZSIC_1_Digit,E_Construction,2023,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,E_Construction,2024,55,,NZ Dollars (millions),12,70.3
_01_Total_RD_Expenditure,ANZSIC_1_Digit,E_Construction,2025,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,F_Wholesale Trade,2016,111,,NZ Dollars (millions),12,17.3
_01_Total_RD_Expenditure,ANZSIC_1_Digit,F_Wholesale Trade,2018,233,,NZ Dollars (millions),12,40.3
_01_Total_RD_Expenditure,ANZSIC_1_Digit,F_Wholesale Trade,2019,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,F_Wholesale Trade,2020,174,,NZ Dollars (millions),12,21
_01_Total_RD_Expenditure,ANZSIC_1_Digit,F_Wholesale Trade,2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,F_Wholesale Trade,2022,192,,NZ Dollars (millions),12,10.5
_01_Total_RD_Expenditure,ANZSIC_1_Digit,F_Wholesale Trade,2023,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,F_Wholesale Trade,2024,173,,NZ Dollars (millions),12,11
_01_Total_RD_Expenditure,ANZSIC_1_Digit,F_Wholesale Trade,2025,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,J_Information Media and Telecommunications,2016,52,,NZ Dollars (millions),3 and 12,28.3
_01_Total_RD_Expenditure,ANZSIC_1_Digit,J_Information Media and Telecommunications,2018,90,,NZ Dollars (millions),12,22.8
_01_Total_RD_Expenditure,ANZSIC_1_Digit,J_Information Media and Telecommunications,2019,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,J_Information Media and Telecommunications,2020,127,,NZ Dollars (millions),12,21.2
_01_Total_RD_Expenditure,ANZSIC_1_Digit,J_Information Media and Telecommunications,2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,J_Information Media and Telecommunications,2022,166,,NZ Dollars (millions),12,27.6
_01_Total_RD_Expenditure,ANZSIC_1_Digit,J_Information Media and Telecommunications,2023,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,J_Information Media and Telecommunications,2024,222,,NZ Dollars (millions),12,21.5
_01_Total_RD_Expenditure,ANZSIC_1_Digit,J_Information Media and Telecommunications,2025,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,K_Financial and Insurance Services,2016,42,,NZ Dollars (millions),3 and 12,42.1
_01_Total_RD_Expenditure,ANZSIC_1_Digit,K_Financial and Insurance Services,2018,54,,NZ Dollars (millions),12,58.4
_01_Total_RD_Expenditure,ANZSIC_1_Digit,K_Financial and Insurance Services,2019,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,K_Financial and Insurance Services,2020,79,,NZ Dollars (millions),12,45.2
_01_Total_RD_Expenditure,ANZSIC_1_Digit,K_Financial and Insurance Services,2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,K_Financial and Insurance Services,2022,122,,NZ Dollars (millions),12,45.2
_01_Total_RD_Expenditure,ANZSIC_1_Digit,K_Financial and Insurance Services,2023,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,K_Financial and Insurance Services,2024,194,,NZ Dollars (millions),12,63.7
_01_Total_RD_Expenditure,ANZSIC_1_Digit,K_Financial and Insurance Services,2025,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2016,4,,NZ Dollars (millions),3 and 12,52.8
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2018,41,,NZ Dollars (millions),12,162.4
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2019,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2020,17,,NZ Dollars (millions),12,35.3
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2021,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2022,30,,NZ Dollars (millions),12,44.7
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2023,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2024,17,,NZ Dollars (millions),12,82.4
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"L_Rental, Hiring and Real Estate Services",2025,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2016,1152,,NZ Dollars (millions),12,5.4
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2018,1627,,NZ Dollars (millions),12,12.5
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2019,...,,NZ Dollars (millions),12,...
_01_Total_RD_Expenditure,ANZSIC_1_Digit,"M_Professional, Scientific and Technical Services",2020,1924,,NZ Dollars (millions),12,6.8
